plant,sample,species,File_prefix,filename,window/petal,
1,1,L_lucida,WindowProjectSample,0,p,
1,1,lucida,WindowProjectSample,1.1_windpw,w,
1,2,lucida,WindowProjectSample,1,w,
1,2,lucida,WindowProjectSample,2,p,
1,3,lucida,WindowProjectSample,3,w,
1,3,lucida,WindowProjectSample,4,p,
1,4,lucida,WindowProjectSample,5,w,
1,4,lucida,WindowProjectSample,6,p,
1,5,lucida,WindowProjectSample,7,w,
1,5,lucida,WindowProjectSample,8,p,
1,6,lucida,WindowProjectSample,9,w,oxidized/brown
1,6,lucida,WindowProjectSample,10,p,
1,7,lucida,WindowProjectSample,13,w,
1,7,lucida,WindowProjectSample,14,p,
2,1,lucida,WindowProjectSample,15,w,
2,1,lucida,WindowProjectSample,16,p,
2,2,lucida,WindowProjectSample,17,w,
2,2,lucida,WindowProjectSample,18,p,
2,3,lucida,WindowProjectSample,19,w,
2,3,lucida,WindowProjectSample,20,p,
2,4,lucida,WindowProjectSample,21,w,
2,4,lucida,WindowProjectSample,22,p,
2,7,lucida,WindowProjectSample,23,w,
2,7,lucida,WindowProjectSample,24,p,
3,1,lucida,WindowProjectSample,25,w,
3,1,lucida,WindowProjectSample,26,p,
3,2,lucida,WindowProjectSample,27,w,
3,2,lucida,WindowProjectSample,28,p,
3,3,lucida,WindowProjectSample,29,w,
3,3,lucida,WindowProjectSample,30,p,
3,4,lucida,WindowProjectSample,31,w,
3,4,lucida,WindowProjectSample,32,p,
3,6,lucida,WindowProjectSample,33,w,
3,6,lucida,WindowProjectSample,34,p,
3,7,lucida,WindowProjectSample,35,w,
3,7,lucida,WindowProjectSample,36,p,
1,1,fruticosa,WindowProjectSample,37,w,
1,1,fruticosa,WindowProjectSample,38,p,
1,2,fruticosa,WindowProjectSample,39,p,
1,2,fruticosa,WindowProjectSample,41,w,
1,3,fruticosa,WindowProjectSample,43,w,
1,3,fruticosa,WindowProjectSample,44,p,
1,4,fruticosa,WindowProjectSample,45,w,
1,4,fruticosa,WindowProjectSample,46,p,
1,5,fruticosa,WindowProjectSample,47,w,
1,5,fruticosa,WindowProjectSample,50,p,
1,6,fruticosa,WindowProjectSample,51,w,
1,6,fruticosa,WindowProjectSample,52,p,
1,7,fruticosa,WindowProjectSample,NA,w,lost
1,7,fruticosa,WindowProjectSample,53,p,
2,1,fruticosa,WindowProjectSample,54,w,
2,1,fruticosa,WindowProjectSample,55,p,
2,2,fruticosa,WindowProjectSample,56,w,
2,2,fruticosa,WindowProjectSample,57,p,
2,3,fruticosa,WindowProjectSample,58,w,
2,3,fruticosa,WindowProjectSample,59,p,
2,4,fruticosa,WindowProjectSample,60,w,
2,4,fruticosa,WindowProjectSample,61,p,
2,5,fruticosa,WindowProjectSample,62,w,
2,5,fruticosa,WindowProjectSample,63,p,
2,6,fruticosa,WindowProjectSample,64,w,
2,6,fruticosa,WindowProjectSample,65,p,
2,7,fruticosa,WindowProjectSample,66,w,
2,7,fruticosa,WindowProjectSample,67,p,
3,1,fruticosa,WindowProjectSample,68,w,
3,1,fruticosa,WindowProjectSample,69,p,
3,2,fruticosa,WindowProjectSample,70,w,
3,2,fruticosa,WindowProjectSample,71,p,
3,3,fruticosa,WindowProjectSample,73,w,
3,3,fruticosa,WindowProjectSample,74,p,
3,4,fruticosa,WindowProjectSample,75,p,
3,4,fruticosa,WindowProjectSample,77,w,
3,5,fruticosa,WindowProjectSample,78,w,
3,5,fruticosa,WindowProjectSample,79,p,
3,6,fruticosa,WindowProjectSample,80,w,very rusty - not oxidized
3,6,fruticosa,WindowProjectSample,81,p,very rusty not oxidized
3,7,fruticosa,WindowProjectSample,82,w,
3,7,fruticosa,WindowProjectSample,83,p,
4,1,fruticosa,WindowProjectSample,84,w,
4,1,fruticosa,WindowProjectSample,85,p,
4,2,fruticosa,WindowProjectSample,86,w,
4,2,fruticosa,WindowProjectSample,87,p,
4,3,fruticosa,WindowProjectSample,88,w,
4,3,fruticosa,WindowProjectSample,89,p,
4,4,fruticosa,WindowProjectSample,90,w,
4,4,fruticosa,WindowProjectSample,91,p,
4,5,fruticosa,WindowProjectSample,92,w,
4,5,fruticosa,WindowProjectSample,93,p,
4,6,fruticosa,WindowProjectSample,94,w,
